,Calciatore,Ruolo,Squadra,Partite Giocate,MV,FM,Gol,Gol Subiti,Rigori,Rigori Parati,Assist,Ammonizioni,Espulsioni,QA,ExpectedCost_1000
465,Andreolli,d,CHI,10,"5,35","5,2",0,0,0 / 0,0,0,3,0,3,-
466,Ichazo,p,TOR,3,"5,83","5,17",0,2,0 / 0,0,0,0,0,3,-
467,Wallace,d,LAZ,15,"5,53","5,17",0,0,0 / 0,0,0,3,0,4,-
468,Cragno,p,CAG,38,"6,45","5,17",0,54,0 / 0,2,0,1,0,12,-
469,Lemos,d,SAS,3,"5,17","5,17",0,0,0 / 0,0,0,0,0,3,-
470,Wilmot,d,UDI,3,"5,17","5,17",0,0,0 / 0,0,0,1,0,2,-
471,Reina,p,MIL,4,"6,38","5,12",0,5,0 / 0,0,0,0,0,4,-
472,Gollini,p,ATA,20,"6,18","5,1",0,21,0 / 0,0,0,1,0,10,-
473,Strakosha,p,LAZ,35,"6,19","5,1",0,39,0 / 0,1,0,4,0,12,-
474,Sierralta,d,PAR,5,"5,7","5,1",0,0,0 / 0,0,0,2,0,1,-
475,Spolli,d,GEN,7,"5,5","5,07",0,0,0 / 0,0,0,2,0,3,-
476,Dragowski,p,EMP,17,"6,47","5,06",0,26,0 / 0,1,0,2,0,8,-
477,Terracciano,p,FIO,10,"6,35","5,05",0,13,0 / 0,0,0,0,0,5,-
478,Perica,a,FRO,7,"5,21","5,0",0,0,0 / 0,0,0,3,0,5,-
479,Pezzella Giu.,d,GEN,5,"5,3","5,0",0,0,0 / 0,0,0,1,1,2,-
480,Valencia Jm,c,BOL,1,"5,5","5,0",0,0,0 / 0,0,0,1,0,2,-
481,Jandrei,p,GEN,1,"6,0","5,0",0,1,0 / 0,0,0,0,0,3,-
482,Perin,p,JUV,9,"5,89","4,94",0,8,0 / 0,0,0,1,0,4,-
483,Radu I.,p,GEN,33,"6,24","4,94",0,46,0 / 0,1,0,0,0,11,-
484,Semper,p,CHI,6,"6,25","4,92",0,8,0 / 0,0,0,0,0,4,-
485,Ospina,p,NAP,17,"6,09","4,91",0,20,0 / 0,0,0,0,0,7,-
486,Consigli,p,SAS,36,"6,22","4,86",0,56,0 / 0,3,0,2,1,14,-
487,Lafont,p,FIO,34,"6,03","4,85",0,40,0 / 0,1,0,2,0,11,-
488,Musso,p,UDI,29,"6,28","4,83",0,40,0 / 0,0,0,4,0,11,-
489,Viviano,p,SPA,17,"6,29","4,82",0,25,0 / 0,0,0,0,0,10,-
490,Gomis A,p,SPA,20,"6,08","4,72",0,27,0 / 0,0,0,0,0,7,-
491,Scuffet,p,UDI,9,"6,17","4,72",0,13,0 / 0,0,0,0,0,3,-
492,Audero,p,SAM,36,"6,07","4,68",0,51,0 / 0,1,0,4,0,10,-
493,Berisha,p,ATA,18,"6,06","4,64",0,25,0 / 0,0,0,1,0,7,-
494,Skorupski,p,BOL,38,"6,08","4,59",0,56,0 / 0,0,0,1,0,10,-
495,Sorrentino,p,CHI,31,"6,35","4,58",0,60,0 / 0,2,0,2,0,8,-
496,Pegolo,p,SAS,3,"6,0","4,5",0,4,0 / 0,0,0,1,0,2,-
497,Frattali,p,PAR,1,"6,5","4,5",0,2,0 / 0,0,0,0,0,1,-
498,Sepe,p,PAR,37,"6,11","4,45",0,59,0 / 0,0,0,1,0,7,-
499,Olsen,p,ROM,27,"5,98","4,39",0,42,0 / 0,0,0,2,0,9,-
500,Bardi,p,FRO,3,"6,0","4,33",0,5,0 / 0,0,0,0,0,2,-
501,Sportiello,p,FRO,35,"6,1","4,2",0,64,0 / 0,0,0,5,0,6,-
502,Proto,p,LAZ,2,"6,0","3,75",0,4,0 / 0,0,0,1,0,1,-
503,Provedel,p,EMP,16,"5,81","3,56",0,36,0 / 0,0,0,0,0,4,-
504,Pinsoglio,p,JUV,1,"5,5","3,5",0,2,0 / 0,0,0,0,0,1,-
505,Tanasijevic,d,CHI,1,"4,5","3,5",0,0,0 / 0,0,0,0,1,1,-
506,Marchetti,p,GEN,4,"5,75","3,12",0,10,0 / 0,0,0,1,0,4,-
507,Milinkovic-Savic V.,p,SPA,2,"5,5","3,0",0,4,0 / 0,0,0,0,1,2,-
508,Seculin,p,CHI,2,"5,75","2,25",0,7,0 / 0,0,0,0,0,1,-
509,Guerrieri,p,LAZ,1,"5,0","2,0",0,3,0 / 0,0,0,0,0,1,-
510,Da Costa,p,BOL,0,"0,0","0,0",0,0,0 / 0,0,0,0,0,1,-
511,Rizzo,c,BOL,0,"0,0","0,0",0,0,0 / 0,0,0,0,0,4,-
512,Romagnoli S.,d,EMP,0,"0,0","0,0",0,0,0 / 0,0,0,0,0,5,-
513,Lollo,c,EMP,0,"0,0","0,0",0,0,0 / 0,0,0,0,0,1,-
514,Diakhate,c,PAR,0,"0,0","0,0",0,0,0 / 0,0,0,0,0,1,-
515,Ciofani M,d,FRO,0,"0,0","0,0",0,0,0 / 0,0,0,0,0,4,-
516,Verde,a,ROM,0,"0,0","0,0",0,0,0 / 0,0,0,0,0,2,-
517,Donnarumma An.,p,MIL,0,"0,0","0,0",0,0,0 / 0,0,0,0,0,1,-
518,Berni,p,INT,0,"0,0","0,0",0,0,0 / 0,0,0,0,0,1,-
519,Marchisio,c,JUV,0,"0,0","0,0",0,0,0 / 0,0,0,0,0,5,-
