;Id;Valore;V_Partite;V_FM;V_MV;V_Rigori;V_Rig_Parati;V_Ammonizioni;V_Espulsioni;V_Squadra;V_Gol_Subiti;;;Valore;V_Partite;V_FM;V_MV;V_Rigori;V_Rig_Parati;V_Ammonizioni;V_Espulsioni;V_Squadra;V_Gol_Subiti
96;96;20,05083021;2,083684211;6,474768421;6,305421053;0;0;-2,313043478;0;7,5;0;;;;;;;;;;;;
97;97;25,85442655;5,059473684;10,85073684;10,34763158;0;0;-3,40341556;0;3;0;;;;;;;;;;;;
98;98;21,11650558;5,443157895;11,18552632;10,88357895;0;0;-10,55030303;-0,345454545;4,5;0;;;;;;;;;;;;
99;99;29,24265763;5,63;11,96147368;10,98805263;1,7;0;-5,009090909;-0,527777778;4,5;0;;;;;;;;;;;;
100;100;6,341653814;2,024736842;6,624631579;6,614210526;0;0;-12,30427807;-1,117647059;4,5;0;;;;;;;;;;;;
101;101;19,43704802;4,137894737;10,58021053;9,558;1,933333333;0;-12,06868687;-0,703703704;6;0;;;;;;;;;;;;
102;102;22,61643421;3,598947368;8,341368421;8,357368421;0;0;-3,68125;0;6;0;;;;;;;;;;;;
103;103;22,47555405;3,715789474;9,101684211;8,860484211;0;0;-6,702403846;0;7,5;0;;;;;;;;;;;;
104;104;25,52588134;3,817368421;10,24736842;8,779326316;0;0;-4,818181818;0;7,5;0;;;;;;;;;;;;
105;105;12,47440491;2,476315789;7,662052632;7,280305263;0;0;-9,444268775;0;4,5;0;;;;;;;;;;;;
106;106;5,076115789;0,573747368;1,907631579;1,894736842;0;0;-3,8;0;4,5;0;;;;;;;;;;;;
107;107;21,00283231;3,495263158;8,517473684;8,234684211;0;0;-6,744588745;0;7,5;0;;;;;;;;;;;;
108;108;17,79790119;4,308147368;6,261578947;6,302368421;0;0;-3,574193548;0;4,5;0;;;;;;;;;;;;
109;109;7,797536842;1,0528;0,855263158;0,889473684;0;0;-1;0;6;0;;;;;;;;;;;;
110;110;22,75030722;4,104210526;9,300210526;8,718736842;0;0;-2,372850679;0;3;0;;;;;;;;;;;;
111;111;10,53219883;3,706842105;8,302105263;8,295473684;0;0;-10,95555556;-0,316666667;1,5;0;;;;;;;;;;;;
112;112;24,45266552;5,885263158;11,38526316;10,87542105;0;0;-5,607567568;-1,085714286;3;0;;;;;;;;;;;;
113;113;25,82852578;5,412105263;10,91005263;10,63010526;0;0;-8,623737374;0;7,5;0;;;;;;;;;;;;
114;114;15,48247988;3,485789474;8,716894737;8,632736842;0;0;-11,35294118;0;6;0;;;;;;;;;;;;
115;115;14,07506516;2,841052632;7,717578947;7,608052632;0;0;-7,288761905;-1,302857143;4,5;0;;;;;;;;;;;;
116;116;13,88363376;3,721052632;8,424705263;8,3896;0;0;-14,15172414;0;7,5;0;;;;;;;;;;;;
117;117;7,498554386;1,592905263;3,695368421;3,576947368;0;0;-8,866666667;0;7,5;0;;;;;;;;;;;;
118;118;12,40174737;2,3688;1,266473684;1,266473684;0;0;0;0;7,5;0;;;;;;;;;;;;
119;119;20,94471538;4,271578947;9,161115789;9,155157895;0;0;-9,143137255;0;7,5;0;;;;;;;;;;;;
120;120;18,38489412;5,187368421;9,891852632;9,870378947;0;0;-10,17058824;-0,894117647;4,5;0;;;;;;;;;;;;
121;121;21,52291476;4,271578947;9,683747368;9,375431579;0;0;-8,832843137;-0,475;7,5;0;;;;;;;;;;;;
122;122;16,06268772;1,993684211;6,511957895;6,390378947;0;0;-6,333333333;0;7,5;0;;;;;;;;;;;;
123;123;14,93265901;3,452631579;8,3988;8,196378947;0;0;-9,615151515;0;4,5;0;;;;;;;;;;;;
124;124;9,4292;1,844989474;2,322421053;2,261789474;0;0;0;0;3;0;;;;;;;;;;;;
125;125;10,56109474;4,2112;1,674947368;1,674947368;0;0;0;0;3;0;;;;;;;;;;;;
126;126;9,061094737;4,2112;1,674947368;1,674947368;0;0;0;0;1,5;0;;;;;;;;;;;;
127;127;9,061094737;4,2112;1,674947368;1,674947368;0;0;0;0;1,5;0;;;;;;;;;;;;
128;128;9,116620137;2,608947368;7,120105263;7,196263158;0;0;-11,44505929;-0,863636364;4,5;0;;;;;;;;;;;;
129;129;13,26572515;2,527368421;7,062;7,123578947;0;0;-8,655555556;-0,791666667;6;0;;;;;;;;;;;;
130;130;20,13330192;5,474736842;6,675789474;7,341052632;0;1;-0,83125;0;7,5;-7,027027027;;;;;;;;;;;;
131;131;22,62145327;4,33;10,662;9,600789474;0;0;-9,471336207;0;7,5;0;;;;;;;;;;;;
132;132;16,31947368;6,58;2,086842105;2,052631579;0;0;-0,4;0;6;0;;;;;;;;;;;;
133;133;13,38789474;6,58;2,086842105;2,121052632;0;0;-0,4;0;3;0;;;;;;;;;;;;
134;134;12,62210526;6,58;2,086842105;2,155263158;0;0;-1,2;0;3;0;;;;;;;;;;;;
135;135;17,81947368;6,58;2,086842105;2,052631579;0;0;-0,4;0;7,5;0;;;;;;;;;;;;
136;136;4,194905263;1,0528;0,821052632;0,821052632;0;0;0;0;1,5;0;;;;;;;;;;;;
137;137;22,51209273;4,802631579;10,13921053;10,06263158;0;0;-9,033333333;-0,959047619;7,5;0;;;;;;;;;;;;
138;138;12,99774436;2,874736842;7,171578947;7,28;0;0;-6,65;-0,678571429;3;0;;;;;;;;;;;;
139;139;15,05018379;2,634736842;6,361578947;6,318947368;0;0;-4,765079365;0;4,5;0;;;;;;;;;;;;
140;140;2,288148825;1,473684211;5,211631579;5,161726316;0;0;-11,05889328;0;1,5;0;;;;;;;;;;;;
141;141;24,16871469;5,716842105;10,33105263;10,13394737;0,5;0;-6,4996139;-0,513513514;4,5;0;;;;;;;;;;;;
142;142;4,882052632;0,794736842;3,938105263;3,724210526;0;0;-8,075;0;4,5;0;;;;;;;;;;;;
143;143;23,26175188;4,078947368;9,693157895;9,310789474;0;0;-4,321142857;0;4,5;0;;;;;;;;;;;;
