,Calciatore,Ruolo,Squadra,Partite Giocate,MV,FM,Gol,Gol Subiti,Rigori,Rigori Parati,Assist,Ammonizioni,Espulsioni
531,Medel,c,INT,0,"0,0","0,0",0,0,0 / 0,0,0,0,0
532,Biabiany,c,INT,0,"0,0","0,0",0,0,0 / 0,0,0,0,0
533,Jovetic,a,INT,0,"0,0","0,0",0,0,0 / 0,0,0,0,0
534,Guerrieri,p,LAZ,0,"0,0","0,0",0,0,0 / 0,0,0,0,0
535,Marchetti,p,LAZ,0,"0,0","0,0",0,0,0 / 0,0,0,0,0
536,Hoedt,d,LAZ,0,"0,0","0,0",0,0,0 / 0,0,0,0,0
537,Mauricio,d,LAZ,0,"0,0","0,0",0,0,0 / 0,0,0,0,0
538,Crecco,c,LAZ,0,"0,0","0,0",0,0,0 / 0,0,0,0,0
539,Kishna,a,LAZ,0,"0,0","0,0",0,0,0 / 0,0,0,0,0
540,Djordjevic,a,LAZ,0,"0,0","0,0",0,0,0 / 0,0,0,0,0
541,Keita B.,a,LAZ,0,"0,0","0,0",0,0,0 / 0,0,0,0,0
542,Albertazzi,d,VER,0,"0,0","0,0",0,0,0 / 0,0,0,0,0
543,Paletta,d,MIL,0,"0,0","0,0",0,0,0 / 0,0,0,0,0
544,Mauri J,c,MIL,0,"0,0","0,0",0,0,0 / 0,0,0,0,0
545,Bacca,a,MIL,0,"0,0","0,0",0,0,0 / 0,0,0,0,0
546,Gabriel,p,MIL,0,"0,0","0,0",0,0,0 / 0,0,0,0,0
547,Rafael Cabral,p,NAP,0,"0,0","0,0",0,0,0 / 0,0,0,0,0
548,Lobont,p,ROM,0,"0,0","0,0",0,0,0 / 0,0,0,0,0
549,Iturbe,a,ROM,0,"0,0","0,0",0,0,0 / 0,0,0,0,0
550,Pomini,p,SAS,0,"0,0","0,0",0,0,0 / 0,0,0,0,0
551,Ichazo,p,TOR,0,"0,0","0,0",0,0,0 / 0,0,0,0,0
552,Padelli,p,INT,0,"0,0","0,0",0,0,0 / 0,0,0,0,0
553,Avelar,d,TOR,0,"0,0","0,0",0,0,0 / 0,0,0,0,0
554,Karnezis,p,UDI,0,"0,0","0,0",0,0,0 / 0,0,0,0,0
555,Gabriel Silva,d,UDI,0,"0,0","0,0",0,0,0 / 0,0,0,0,0
556,Badu,c,UDI,0,"0,0","0,0",0,0,0 / 0,0,0,0,0
557,Kone,c,UDI,0,"0,0","0,0",0,0,0 / 0,0,0,0,0
558,Coppola,p,VER,0,"0,0","0,0",0,0,0 / 0,0,0,0,0
559,Laner,c,VER,0,"0,0","0,0",0,0,0 / 0,0,0,0,0
560,Falco,c,BOL,0,"0,0","0,0",0,0,0 / 0,0,0,0,0
561,Mounier,c,BOL,0,"0,0","0,0",0,0,0 / 0,0,0,0,0
562,Lemina,c,JUV,0,"0,0","0,0",0,0,0 / 0,0,0,0,0
563,Rodriguez A,a,CHI,0,"0,0","0,0",0,0,0 / 0,0,0,0,0
564,Fiamozzi,d,GEN,0,"0,0","0,0",0,0,0 / 0,0,0,0,0
565,Ninkovic,c,GEN,0,"0,0","0,0",0,0,0 / 0,0,0,0,0
566,Marson,p,SAS,0,"0,0","0,0",0,0,0 / 0,0,0,0,0
567,Della Giovanna,d,SPA,0,"0,0","0,0",0,0,0 / 0,0,0,0,0
568,Storari,p,MIL,0,"0,0","0,0",0,0,0 / 0,0,0,0,0
569,Di Gennaro D,c,LAZ,0,"0,0","0,0",0,0,0 / 0,0,0,0,0
570,Melchiorri,a,CAG,0,"0,0","0,0",0,0,0 / 0,0,0,0,0
571,Festa,p,CRO,0,"0,0","0,0",0,0,0 / 0,0,0,0,0
572,Zima L.,p,GEN,0,"0,0","0,0",0,0,0 / 0,0,0,0,0
573,Vargic,p,LAZ,0,"0,0","0,0",0,0,0 / 0,0,0,0,0
574,Tozzo,p,SAM,0,"0,0","0,0",0,0,0 / 0,0,0,0,0
575,Eramo,c,BEN,0,"0,0","0,0",0,0,0 / 0,0,0,0,0
576,Ewandro,a,UDI,0,"0,0","0,0",0,0,0 / 0,0,0,0,0
577,Balzano,d,CAG,0,"0,0","0,0",0,0,0 / 0,0,0,0,0
578,Pjaca,a,JUV,0,"0,0","0,0",0,0,0 / 0,0,0,0,0
579,Lukic,c,TOR,0,"0,0","0,0",0,0,0 / 0,0,0,0,0
580,Hagi,c,FIO,0,"0,0","0,0",0,0,0 / 0,0,0,0,0
581,Gomez G,d,MIL,0,"0,0","0,0",0,0,0 / 0,0,0,0,0
582,Milic,d,NAP,0,"0,0","0,0",0,0,0 / 0,0,0,0,0
583,Jose' Sosa,c,MIL,0,"0,0","0,0",0,0,0 / 0,0,0,0,0
584,Barbosa,a,INT,0,"0,0","0,0",0,0,0 / 0,0,0,0,0
585,Morosini,c,GEN,0,"0,0","0,0",0,0,0 / 0,0,0,0,0
586,Kiyine,c,CHI,0,"0,0","0,0",0,0,0 / 0,0,0,0,0
587,Melegoni,c,ATA,0,"0,0","0,0",0,0,0 / 0,0,0,0,0
588,Satalino,p,SAS,0,"0,0","0,0",0,0,0 / 0,0,0,0,0
589,Kotnik,c,CRO,0,"0,0","0,0",0,0,0 / 0,0,0,0,0
590,Valencia Jm,c,BOL,0,"0,0","0,0",0,0,0 / 0,0,0,0,0
591,Suljic,c,CRO,0,"0,0","0,0",0,0,0 / 0,0,0,0,0
592,Joao Schmidt,c,ATA,0,"0,0","0,0",0,0,0 / 0,0,0,0,0
593,Malle',a,UDI,0,"0,0","0,0",0,0,0 / 0,0,0,0,0
594,Rigione,d,CHI,0,"0,0","0,0",0,0,0 / 0,0,0,0,0
595,Zekhnini,a,FIO,0,"0,0","0,0",0,0,0 / 0,0,0,0,0
596,Konate,d,SPA,0,"0,0","0,0",0,0,0 / 0,0,0,0,0
597,Lopez W,d,BEN,0,"0,0","0,0",0,0,0 / 0,0,0,0,0
598,Padella,d,BEN,0,"0,0","0,0",0,0,0 / 0,0,0,0,0
599,Melara,c,BEN,0,"0,0","0,0",0,0,0 / 0,0,0,0,0
600,Cisse' K,a,BEN,0,"0,0","0,0",0,0,0 / 0,0,0,0,0
601,Del Fabro,d,JUV,0,"0,0","0,0",0,0,0 / 0,0,0,0,0
602,Viscovo,p,CRO,0,"0,0","0,0",0,0,0 / 0,0,0,0,0
603,Marchizza,d,SAS,0,"0,0","0,0",0,0,0 / 0,0,0,0,0
604,Bandinelli,c,SAS,0,"0,0","0,0",0,0,0 / 0,0,0,0,0
605,Marchegiani,p,SPA,0,"0,0","0,0",0,0,0 / 0,0,0,0,0
606,Poluzzi,p,SPA,0,"0,0","0,0",0,0,0 / 0,0,0,0,0
607,Gasparetto,d,SPA,0,"0,0","0,0",0,0,0 / 0,0,0,0,0
608,Polvani,d,SPA,0,"0,0","0,0",0,0,0 / 0,0,0,0,0
609,Arini,c,SPA,0,"0,0","0,0",0,0,0 / 0,0,0,0,0
610,Finotto,a,SPA,0,"0,0","0,0",0,0,0 / 0,0,0,0,0
611,Zaccagno,p,TOR,0,"0,0","0,0",0,0,0 / 0,0,0,0,0
612,Brosco,d,VER,0,"0,0","0,0",0,0,0 / 0,0,0,0,0
613,Luppi,a,VER,0,"0,0","0,0",0,0,0 / 0,0,0,0,0
614,Cotticelli,p,BEN,0,"0,0","0,0",0,0,0 / 0,0,0,0,0
615,Rodriguez T,c,GEN,0,"0,0","0,0",0,0,0 / 0,0,0,0,0
616,Cerofolini,p,FIO,0,"0,0","0,0",0,0,0 / 0,0,0,0,0
617,Confente,p,CHI,0,"0,0","0,0",0,0,0 / 0,0,0,0,0
618,Bochniewicz,d,UDI,0,"0,0","0,0",0,0,0 / 0,0,0,0,0
619,Leverbe,d,SAM,0,"0,0","0,0",0,0,0 / 0,0,0,0,0
620,Piscitelli,p,BEN,0,"0,0","0,0",0,0,0 / 0,0,0,0,0
621,Hristov,d,FIO,0,"0,0","0,0",0,0,0 / 0,0,0,0,0
622,Tomic,d,SAM,0,"0,0","0,0",0,0,0 / 0,0,0,0,0
623,Vanheusden,d,INT,0,"0,0","0,0",0,0,0 / 0,0,0,0,0
624,Mikulic,d,SAM,0,"0,0","0,0",0,0,0 / 0,0,0,0,0
625,Borsellini,p,UDI,0,"0,0","0,0",0,0,0 / 0,0,0,0,0
626,Bruno Jordao,c,LAZ,0,"0,0","0,0",0,0,0 / 0,0,0,0,0
627,Pedro Neto,c,LAZ,0,"0,0","0,0",0,0,0 / 0,0,0,0,0
628,Machach,c,NAP,0,"0,0","0,0",0,0,0 / 0,0,0,0,0
629,Tanasijevic,d,CHI,0,"0,0","0,0",0,0,0 / 0,0,0,0,0
630,Balde' I.,a,SAM,0,"0,0","0,0",0,0,0 / 0,0,0,0,0
