,Calciatore,Ruolo,Squadra,Partite Giocate,MV,FM,Gol,Gol Subiti,Rigori,Rigori Parati,Assist,Ammonizioni,Espulsioni,QA,ExpectedCost_1000,Classifica
0,Immobile,a,LAZ,33,"6,58","9,29",29,0,7 / 8,0,8,3,1,33,-,8
1,Icardi,a,INT,34,"6,35","8,82",29,0,6 / 7,0,1,2,0,34,-,4
2,Diabate',a,BEN,10,"6,2","8,5",8,0,0 / 0,0,0,0,1,10,-,
3,Dybala,a,JUV,33,"6,45","8,42",22,0,3 / 5,0,5,0,0,30,-,1
4,Tumminello,a,CRO,5,"6,2","8,2",3,0,0 / 0,0,1,1,0,5,-,
5,Quagliarella,a,SAM,35,"6,21","7,84",19,0,7 / 8,0,5,4,0,23,-,9
6,Ilicic,c,ATA,31,"6,5","7,77",11,0,2 / 2,0,8,3,0,21,-,3
7,Luis Alberto,c,LAZ,34,"6,46","7,65",11,0,1 / 2,0,13,5,0,18,-,8
8,Mertens,a,NAP,38,"6,20","7,64",18,0,4 / 5,0,6,4,0,28,-,2
9,Dzeko,a,ROM,36,"6,25","7,61",16,0,0 / 0,0,4,6,0,29,-,6
10,Barrow,a,ATA,9,"6,5","7,61",3,0,0 / 0,0,1,0,0,9,-,3
11,Higuain,a,JUV,33,"6,14","7,53",16,0,1 / 2,0,3,4,0,27,-,1
12,Simy,a,CRO,17,"6,24","7,53",7,0,0 / 0,0,1,0,0,11,-,
13,Milinkovic-Savic,c,LAZ,35,"6,5","7,5",12,0,0 / 0,0,3,8,0,22,-,8
14,Antenucci,a,SPA,32,"6,30","7,5",11,0,5 / 5,0,6,1,0,20,-,13
15,Ghoulam,d,NAP,11,"6,64","7,41",2,0,0 / 0,0,3,1,0,5,-,2
16,Zapata D.,a,SAM,30,"6,22","7,4",11,0,0 / 0,0,3,1,0,18,-,9
17,Lasagna,a,UDI,29,"6,12","7,38",12,0,0 / 0,0,1,1,0,18,-,12
18,Bernardeschi,c,JUV,16,"6,38","7,38",4,0,0 / 0,0,5,4,0,16,-,1
19,Iago Falque,a,TOR,36,"6,21","7,38",12,0,0 / 0,0,7,2,0,21,-,7
20,Milik,a,NAP,12,"6,21","7,38",5,0,0 / 0,0,0,2,0,11,-,2
21,Verdi,c,BOL,33,"6,21","7,36",10,0,2 / 2,0,9,2,0,22,-,10
22,Ljajic,a,TOR,27,"6,39","7,35",6,0,0 / 0,0,9,2,0,19,-,7
23,Cutrone,a,MIL,25,"6,12","7,34",10,0,0 / 0,0,2,3,0,13,-,5
24,Insigne,a,NAP,37,"6,42","7,28",8,0,1 / 1,0,10,4,0,26,-,2
25,Under,c,ROM,20,"6,15","7,25",7,0,0 / 0,0,1,0,0,12,-,6
26,Felipe Anderson,c,LAZ,21,"6,38","7,24",4,0,0 / 0,0,6,0,0,16,-,8
27,Cuadrado,c,JUV,20,"6,45","7,22",4,0,0 / 0,0,6,5,0,11,-,1
28,Okwonkwo,a,BOL,7,"6,07","7,21",3,0,0 / 0,0,0,2,0,4,-,10
29,Callejon,a,NAP,38,"6,16","7,20",10,0,0 / 0,0,11,3,0,26,-,2
30,Khedira,c,JUV,26,"6,10","7,19",9,0,0 / 0,0,2,1,0,16,-,1
31,Simeone,a,FIO,38,"5,93","7,11",14,0,0 / 0,0,4,3,0,20,-,14
32,Douglas Costa,c,JUV,31,"6,39","7,11",4,0,0 / 0,0,11,1,0,22,-,1
33,Thereau,a,FIO,20,"5,95","7,1",7,0,4 / 4,0,3,2,0,12,-,14
