,Calciatore,Ruolo,Squadra,Partite Giocate,MV,FM,Gol,Gol Subiti,Rigori,Rigori Parati,Assist,Ammonizioni,Espulsioni,QA,ExpectedCost_1000
308,Bonifazi,d,SPA,17,"5,56","5,85",2,0,0 / 0,0,0,2,0,4,-
309,Walace,c,UDI,17,"5,91","5,85",0,0,0 / 0,0,0,2,0,3,-
310,Tabanelli,c,LEC,13,"5,77","5,85",1,0,0 / 0,0,0,4,0,5,-
311,Sturaro,c,GEN,16,"5,81","5,84",1,0,0 / 0,0,1,7,0,2,-
312,Parolo,c,LAZ,28,"5,88","5,84",1,0,0 / 0,0,0,8,0,5,-
313,Lucas Leiva,c,LAZ,25,"6,0","5,84",0,0,0 / 0,0,1,8,1,5,-
314,Barilla',c,PAR,25,"5,8","5,84",1,0,0 / 0,0,1,6,0,5,-
315,Rodrigo Becao,d,UDI,28,"5,88","5,84",1,0,0 / 0,0,0,8,0,5,-
316,Khedira,c,JUV,12,"5,88","5,83",0,0,0 / 0,0,1,3,0,1,-
317,Zappacosta,d,ROM,9,"5,72","5,83",0,0,0 / 0,0,1,0,0,2,-
318,Lirola,d,FIO,35,"5,83","5,83",0,0,0 / 0,0,2,4,0,7,-
319,Fazio,d,ROM,15,"5,77","5,83",1,0,0 / 0,0,0,2,1,2,-
320,Mancini,d,ROM,32,"5,98","5,83",1,0,0 / 0,0,0,14,1,8,-
321,Ibanez,d,ROM,9,"5,94","5,83",0,0,0 / 0,0,0,2,0,2,-
322,Gabbia,d,MIL,9,"5,89","5,83",0,0,0 / 0,0,0,1,0,2,-
323,Hernani,c,PAR,32,"5,86","5,83",0,0,0 / 0,0,4,10,0,8,-
324,Henderson L.,c,VER,3,"6,0","5,83",0,0,0 / 0,0,0,1,0,1,-
325,Ferrari G.,d,SAS,22,"5,89","5,82",0,0,0 / 0,0,1,5,0,5,-
326,Farago',c,CAG,19,"5,79","5,82",1,0,0 / 0,0,1,3,0,4,-
327,Ekdal,c,SAM,30,"5,88","5,82",0,0,0 / 0,0,2,8,0,5,-
328,Zeegelaar,d,UDI,11,"5,77","5,82",0,0,0 / 0,0,2,3,0,5,-
329,Izzo,d,TOR,31,"5,85","5,81",1,0,0 / 0,0,0,5,2,5,-
330,Romagna,d,SAS,18,"5,89","5,81",0,0,0 / 0,0,0,3,0,3,-
331,Skov Olsen,a,BOL,21,"5,67","5,81",1,0,0 / 0,0,0,2,0,4,-
332,Pereiro,c,CAG,8,"5,62","5,81",1,0,0 / 0,0,0,3,0,5,-
333,Ghezzal,c,FIO,15,"5,77","5,8",1,0,0 / 0,0,0,5,0,3,-
334,Romero,d,GEN,30,"5,92","5,8",1,0,0 / 0,0,1,13,1,5,-
335,Samir,d,UDI,19,"5,71","5,79",1,0,0 / 0,0,0,3,0,4,-
336,Radovanovic,c,GEN,16,"5,88","5,78",0,0,0 / 0,0,0,3,0,1,-
337,Suso,c,MIL,16,"5,53","5,78",1,0,0 / 0,0,2,2,0,8,-
338,Missiroli,c,SPA,34,"5,79","5,78",1,0,0 / 0,0,0,7,0,6,-
339,Chiriches,d,SAS,9,"5,78","5,78",0,0,0 / 0,0,0,0,0,1,-
340,Vavro,d,LAZ,9,"5,78","5,78",0,0,0 / 0,0,0,0,0,1,-
341,Dessena,c,BRE,24,"5,67","5,77",2,0,0 / 0,0,0,5,1,5,-
342,Venuti,d,FIO,13,"5,85","5,77",0,0,0 / 0,0,1,4,0,3,-
343,Empereur,d,VER,11,"5,91","5,77",0,0,0 / 0,0,0,3,0,1,-
344,Mario Rui,d,NAP,23,"5,87","5,76",0,0,0 / 0,0,2,9,0,4,-
345,Patric,d,LAZ,21,"5,86","5,76",0,0,0 / 0,0,0,2,1,4,-
346,Valdifiori,c,SPA,21,"5,74","5,76",0,0,0 / 0,0,3,5,0,4,-
347,Pisacane,d,CAG,29,"5,79","5,76",1,0,0 / 0,0,0,6,1,4,-
348,Lerager,c,GEN,21,"5,69","5,76",1,0,0 / 0,0,1,5,0,4,-
349,De Silvestri,d,TOR,26,"5,79","5,75",0,0,0 / 0,0,0,2,0,3,-
350,Barreto,c,SAM,2,"5,75","5,75",0,0,0 / 0,0,0,0,0,1,-
351,Ceccherini,d,FIO,10,"5,9","5,75",0,0,0 / 0,0,0,3,0,2,-
352,Agoume,c,INT,2,"6,0","5,75",0,0,0 / 0,0,0,1,0,1,-
353,Tutino,a,VER,4,"5,75","5,75",0,0,0 / 0,0,0,0,0,1,-
354,Sutalo,d,ATA,4,"5,88","5,75",0,0,0 / 0,0,0,1,0,3,-
355,Barreca,d,GEN,17,"5,68","5,74",0,0,0 / 0,0,1,0,0,2,-
356,Depaoli,d,SAM,27,"5,81","5,74",0,0,0 / 0,0,1,7,0,5,-
357,Marlon,d,SAS,23,"5,89","5,74",0,0,0 / 0,0,0,7,0,4,-
358,Goldaniga,d,GEN,11,"5,64","5,73",1,0,0 / 0,0,0,4,0,2,-
359,Jajalo,c,UDI,24,"5,90","5,73",0,0,0 / 0,0,0,6,1,4,-
360,Gunter,d,VER,31,"5,84","5,73",0,0,0 / 0,0,0,7,0,4,-
361,Calabria,d,MIL,23,"5,67","5,72",1,0,0 / 0,0,1,2,2,5,-
362,Lukic,c,TOR,27,"5,70","5,72",1,0,0 / 0,0,1,5,1,4,-
363,Mbaye,d,BOL,19,"5,74","5,71",0,0,0 / 0,0,2,5,0,3,-
364,Floccari,a,SPA,17,"5,62","5,71",1,0,0 / 0,0,0,3,0,2,-
365,Bastos,d,LAZ,14,"5,79","5,71",1,0,0 / 0,0,0,4,0,2,-
366,Santander,a,BOL,17,"5,71","5,71",1,0,1 / 1,0,0,6,0,2,-
367,Ter Avest,d,UDI,14,"5,75","5,71",0,0,0 / 0,0,0,1,0,2,-
368,Cistana,d,BRE,21,"5,76","5,71",1,0,0 / 0,0,0,6,1,2,-
369,Badelj,c,FIO,20,"5,62","5,7",1,0,0 / 0,0,0,1,1,2,-
370,Laxalt,c,MIL,15,"5,73","5,7",0,0,0 / 0,0,1,4,0,2,-
371,Ionita,c,CAG,28,"5,73","5,70",0,0,0 / 0,0,2,6,0,4,-
372,Bocchetti,d,VER,5,"5,9","5,7",0,0,0 / 0,0,0,2,0,1,-
373,Babacar,a,LEC,24,"5,65","5,69",3,0,0 / 2,0,0,4,0,3,-
374,Ankersen,d,GEN,16,"5,69","5,69",0,0,0 / 0,0,1,2,0,3,-
375,Masiello,d,GEN,22,"5,75","5,68",0,0,0 / 0,0,1,5,0,4,-
376,Lucioni,d,LEC,36,"5,62","5,68",3,0,0 / 0,0,0,8,1,5,-
377,Dalbert,d,FIO,31,"5,71","5,68",0,0,0 / 0,0,4,8,1,6,-
378,Sottil,a,FIO,11,"5,77","5,68",0,0,0 / 0,0,0,3,0,2,-
379,Klavan,d,CAG,28,"5,82","5,68",0,0,0 / 0,0,0,4,0,3,-
380,Medel,c,BOL,23,"5,93","5,67",0,0,0 / 0,0,0,10,1,4,-
381,La Gumina,a,SAM,3,"5,67","5,67",0,0,0 / 0,0,0,0,0,1,-
382,Millico,a,TOR,6,"5,67","5,67",0,0,0 / 0,0,0,0,0,1,-
383,Anderson A.,c,LAZ,3,"5,67","5,67",0,0,0 / 0,0,0,0,0,1,-
384,Anderson D.,c,LAZ,3,"5,83","5,67",0,0,0 / 0,0,0,1,0,2,-
